sentence,label
"I cieszę się, że idziemy w dobrym kierunku.",No
"A my pomagamy demokracji, Ross.",No
Wspaniale jest znów być z tobą.,No
To jeden z problemów tak zwanej dyplomacji wahadłowej tej administracji.,No
"Myślę, że dobra wola obu stron, twarde negocjacje obu stron i rozsądny kompromis będą w najlepszym interesie wszystkich stron.",No
"Nawiasem mówiąc, nasz sukces w ciągu ostatnich ośmiu lat nie wynikał z różnorodności, ale właśnie z niej.",No
"Za każdym razem, gdy masz duży wiec z 10 000, 15 000, 20 000 ludzi, będziesz miał kilka osób z marginesu.",No
Istnieją pewne wątpliwości co do ich moralności.,No
"Wrócę do tego za chwilę, ale chciałbym jeszcze przez chwilę odnieść się do tego, co prezydent powiedział o odpowiedzialności fiskalnej.",No
"Wszyscy mówią, że stworzy to miejsca pracy.",No
"Nie zostaną one odebrane nikomu innemu, z wyjątkiem zmniejszenia Departamentu Edukacji.",No
"W każdym z tych przypadków administracja Forda zawiodła i mam nadzieję, że dziś wieczorem ja i pan Ford będziemy mieli okazję przedyskutować przyczyny tych niepowodzeń.",No
"Zdając sobie z tego sprawę, zwołałem grupę naszych współobywateli, aby przeanalizować tę kwestię.",Yes
"Czekali tylko, by wykorzystać okazję.",No
"Teraz pytanie brzmi, czy możemy wygrać?",No
"Podobnie jak pan Perot, trzymałem w ramionach dzieci z crack.",No
"Ten sam kraj, który pomaga nam powstrzymać napływ narkotyków do naszego kraju, które zabijają młodych Amerykanów.",Yes
"Nie zamierzam tego robić, ponieważ uważam, że jury wciąż nie jest w stanie ocenić sowieckiego eksperymentu.",No
"Zamierzamy dać ci 50-procentową ulgę podatkową, aby pomóc zapewnić opiekę zdrowotną tym, których potrzebujesz.",No
Teraz gubernator Carter narzeka na deficyty tej administracji.,No
"Chcę obniżyć stawki, jednocześnie zmniejszając odliczenia, zwolnienia, kredyty i tak dalej, abyśmy nadal uzyskiwali potrzebne nam dochody.",No
"Praktycznie każda analiza ekonomiczna, o której słyszałem, w tym wybitne Biuro Budżetowe Kongresu, które jest szanowane przez, jak sądzę, prawie wszystkich, mówi, że nawet przy historycznie wysokim poziomie wzrostu gospodarczego, będziemy cierpieć z powodu deficytu w wysokości 263 miliardów dolarów.",Yes
"Jedną z rzeczy, które zrobił, jest wypuszczenie cyberprzestępców, aby włamali się do plików rządowych, włamali się do plików osobistych, włamali się do Demokratycznego Komitetu Narodowego.",Yes
Jest to część systemu ubezpieczeń społecznych.,Yes
"Twój plan powiela to, co już jest prawem, które mówi, że jeśli nie masz ubezpieczenia zdrowotnego przez trzy miesiące, możesz uzyskać ciągłość ubezpieczenia, a firma ubezpieczeniowa nie może odmówić ci, jeśli - jeśli minęło mniej niż 90 dni.",Yes
"Ale Rosjanie, myślę, że możemy się z nimi dogadać, ale muszą zrozumieć, że mają do czynienia z bardzo stanowczymi i zdeterminowanymi Stanami Zjednoczonymi Ameryki, które będą bronić naszych interesów i interesów innych krajów na świecie.",No
"Wierzę, że oferuję sprawdzone, silne przywództwo, które może uspokoić wody niespokojnego świata.",No
"Ale wszyscy wiemy, że wciąż mamy wiele do zrobienia.",No
"Ale nie ma wątpliwości, że nie będziemy w stanie zrobić wszystkiego, co moim zdaniem należy zrobić.",No
"Chcę Sądu Najwyższego, który nie zawsze stoi po stronie interesów korporacji.",No
"Jednym z powodów, dla których tak mocno wierzę w reformę prawa, jest to, że ludzie nie boją się wytwarzać produktu, który jest niezbędny dla zdrowia naszych obywateli, a następnie zostają pozwani do sądu.",No
"Nie wiem, jak można głosować ""obecny"" na niektóre z nich.",No
"A jednak, dzięki ciężkiej pracy Amerykanów i dobrej polityce, gospodarka rośnie.",Yes
"Cóż, myślę, że musimy zająć się problemem zadłużenia krajów Trzeciego Świata i musimy pomóc tym krajom w radzeniu sobie z tym ogromnym długiem, który obecnie zaciągnęły i który je obciąża, a jeśli czegoś z tym nie zrobimy i nie pomożemy im wraz z innymi narodami na całym świecie, zniszczymy ich gospodarki, zniszczymy ich przyszłość.",No
"Ma to na celu upewnienie się, że nasi pracodawcy nie łamią prawa, próbując zaspokoić swoje potrzeby kadrowe.",No
Administracja Reagana i Busha miała rację.,No
"Więc mamy - jak powiedzieliśmy, jeśli chcesz nadal prowadzić interesy i sprzedawać swoje produkty tutaj, będziesz musiał zrezygnować z piracenia naszych płyt CD, a oni zgodzili się zrobić rzeczy i zweryfikować, że to zrobili, co znacznie poprawi problem.",Yes
"Została przechytrzona i ograna gorzej niż ktokolwiek, kogo kiedykolwiek widziałem w jakimkolwiek rządzie.",No
"Wystarczy spojrzeć na to, co dzieje się ze stalą i jej kosztami, a także na chiński dumping ogromnych ilości stali w całych Stanach Zjednoczonych, który zasadniczo zabija naszych hutników i nasze firmy stalowe.",Yes
"Mówi o fantastycznym planie administracji, by zająć tysiące mil kwadratowych w zachodnich stanach.",No
"Miałem 19 lub 20 lat, gdy leciałem z lotniskowca i to ukształtowało mnie na głównodowodzącego sił zbrojnych.",No
Po prostu mam szczerą filozoficzną różnicę.,No
"Po pierwsze, wszyscy wiemy, że w swoim orędziu o stanie państwa powiedział Kongresowi o materiałach nuklearnych, które nie istniały.",Yes
Jesteśmy słabi w świecie.,No
"Myślę, że kongresmen Lewis miał na myśli to, że musimy uważać na to, jak postępujemy z naszymi zwolennikami.",No
Możemy podnieść nasze szkoły.,No
"Nie określa, w jaki sposób ta relacja powinna zostać osiągnięta w odniesieniu do naszego obecnego uznania dyplomatycznego i zobowiązań wobec rządu Tajwanu.",No
"I wreszcie, byliśmy stroną konwencji - współpracy z Niemcami, Francją i Wielką Brytanią w celu wysłania ich ministrów spraw zagranicznych do Iranu.",Yes
"Tak, możemy być bezpieczni, jeśli pozostaniemy w ofensywie przeciwko terrorystom i jeśli będziemy szerzyć wolność i swobodę na całym świecie.",No
"Patrzą na fakt, że jesteśmy im winni bilion dolarów, a innym ludziom łącznie 16 bilionów dolarów.",Yes
"Pan Reagan, jak widzieliście dziś wieczorem - prezydent Reagan stoi na stanowisku, że zniknie to magicznie.",No
"Obiecuję, że nie podniosę podatków; obniżam podatki dla osób zarabiających mniej niż 200 000 dolarów rocznie.",No
"Potrzebujemy dobrego, silnego przywództwa w następnym stuleciu.",No
"I pozwól, że powiem ci dokładnie, dlaczego uważam, że wybór, którego dokonał, aby obniżyć podatki dla firm naftowych i innych przed zajęciem się tym - mam na myśli to, że gdybyś był gubernatorem stanu, który był na ostatnim miejscu pod względem opieki zdrowotnej dla rodzin, i nagle znalazłbyś się z największą nadwyżką, jaką twój stan kiedykolwiek miał w swojej historii, czy nie chciałbyś może wykorzystać części z nich, aby wspiąć się z 50 na, powiedzmy, 45 lub 40 lub coś innego, a może lepiej?",No
"Możemy przechowywać i przetwarzać zużyte paliwo jądrowe, senatorze Obama, nie ma problemu.",No
Mógłbym to zrobić bardzo szybko.,No
"Chodzi o Konstytucję - o - i tak ważne, Konstytucję taką, jaka miała być.",No
Dlatego zamierzam poprosić Kongres o przyjęcie ustawy o ochronie nauczycieli.,No
"Generał Petraeus właśnie objął odpowiedzialne stanowisko, na którym dowodzi i będzie naprawdę nadawał ton stosowanej strategii i taktyce.",No
"Obietnicą rewolucji była demokracja, prawa człowieka, wolne związki zawodowe, wolna prasa.",Yes
"Jestem facetem, który chce pomóc Amerykanom dzięki swojemu doświadczeniu.",No
"Jeden rodzic pracuje dla rządu, a drugi dla rodziny.",No
"Czy wiecie dziś, że Rosjanie nadają dziesięć razy więcej programów w języku hiszpańskim do Ameryki Łacińskiej niż my?",Yes
"I to byłby kolejny czynnik, którym bym się kierował.",No
Prawdopodobnie stanie się to w 2012 lub 2015 roku.,No
We wszystkich przypadkach są oni wielkimi uczonymi i cieszą się ogromnym szacunkiem.,No
"Wywodzę się z Partii Demokratycznej, która w tym stuleciu wydała Woodrowa Wilsona, Franklina Roosevelta i Harry'ego Trumana, i która wspierała i podtrzymywała programy, o których dziś mówiłem.",No
"Przepraszam za to, ale ta trafiła prosto do honoru narodowego i przepraszam.",No
"Zawierał 26 oddzielnych map, które musieli podpisać, dosłownie tysiące rozgraniczeń, kto co będzie robił na Zachodnim Brzegu, i wierzę, że jeśli strony spotkają się i w dobrej wierze zawrą to porozumienie, będą w stanie to zrobić, jeśli nie będziemy w stanie narzucić pokoju na Bliskim Wschodzie.",No
"Po pierwsze, sekwestr nie jest czymś, co zaproponowałem.",No
"Tam, gdzie to możliwe - korzyści z posiadania dwojga rodziców w domu, a nie zawsze jest to możliwe.",No
"Jak przywrócić - konkretnie przywrócić miejsca pracy, amerykańskich producentów?",No
Religia była ogromną częścią mojego życia.,No
"Amerykanie nie powinni byli tam jechać, gdybyśmy pozwolili im się bronić, do czego mają prawo na mocy artykułu 57 Karty Narodów Zjednoczonych.",Yes
"Powiedziałbym, że około 30 procent.",No
"Musimy wrócić do odbudowy klasy średniej, amerykańskich rodzin.",No
"Wskazuje na fakt, że odwiedziłem Kubę, gdy u władzy był pan Batista.",No
"Wierzę, że przenieśli znak ""The buck stops here"" z biurka w Gabinecie Owalnym na ""The buck stops here"" w sypialni Lincolna.",No
"Myślę, że robimy postępy.",No
"Czy zamierzamy podwoić odgórną politykę gospodarczą, która pomogła nam wpaść w ten bałagan, czy też przyjmiemy nowy patriotyzm gospodarczy, który mówi, że Ameryka radzi sobie najlepiej, gdy klasa średnia radzi sobie najlepiej?",No
"Nazywa się to wsparciem premium, ale jest rozumiane jako program bonów.",No
"Mówiłem też o młodych ludziach, którzy tu przyjeżdżają, często przyprowadzani przez rodziców.",No
"Dwa pytania: Jak odstraszyć atak nuklearny bez modernizacji naszych sił nuklearnych, skoro Sowieci je modernizują, i jak to się stało, że wydałeś ani grosza na coś, co uważasz za fantazję i oszustwo.",No
"Powstaje więc pytanie, jak je ponownie uruchomić.",No
"Chcę uzyskać lepszą stopę zwrotu z własnych pieniędzy niż marne 2%, które obecnie otrzymuje fundusz powierniczy Social Security Trust.",No
"Jeśli nie masz ubezpieczenia zdrowotnego lub chcesz wykupić plan grupowy, będziesz mógł wykupić plan, który właśnie opisałem.",No
Wszyscy skupiamy się na Chinach.,No
"I myślę, że to zadziała.",No
"To nie jest sposób, w jaki wycinamy - wycinamy całą wieprzowinę.",No
"Ale myślę, że musimy zacząć od lepszego rodzicielstwa.",No
Ale nikt nie zadzwonił do Seana Hannity.,Yes
Dochód netto gospodarstw rolnych spadł o 50% w ciągu ostatnich 3 lat i każdy rolnik o tym wie.,Yes
Jaką wiadomość wysyła to naszym sojusznikom?,No
"Po drugie, mój sprzeciw wobec obecnej polityki rolnej polega na tym, że nie ma skutecznych mechanizmów kontrolnych, które doprowadziłyby podaż i popyt do lepszej równowagi.",No
"Jestem dumny, że pod tym względem jesteśmy lepsi niż cztery lata temu.",No
"Możemy się różnić co do tego, jakie są tego elementy.",No
"Chciałbym zjednoczyć ten kraj, aby zrealizować program, który będzie mówił o nadziejach i aspiracjach przyszłości.",No
"A jeśli chodzi o etykę publiczną, spoczywa na nim odpowiedzialność.",No
"Musimy sprawić, by pracodawcy nagradzali pracowników, którzy dołączają do klubów zdrowia i ćwiczą wellness i fitness.",No
W ciągu ostatnich czterech lat zlikwidowano pół miliona miejsc pracy w przemyśle wytwórczym.,Yes
"Nie sądzę, że Ameryka jest tym, o co chodzi w Ameryce, gdy pozbawiamy życia 400 000 zdesperowanych, beznadziejnych, bezbronnych Amerykanów, którzy byli niepełnosprawni - zdezorientowani i niezdolni do obrony - i po prostu wyrzucamy ich na ulicę, tak jak robiliśmy to przez 4 lata.",Yes
"Jeśli Iran zdobędzie broń nuklearną, wszystkie inne kraje również ją zdobędą.",No
Ostatnio w Aurorze.,No
"Czy możesz dodać pięć sekund, Bernie, dla uczciwości?",No
"Ponieważ to ty zdecydujesz, czy zrównoważymy teraz budżet, ale ochronimy Medicare, Medicaid, edukację i środowisko.",No
#NAME?,No
Ale zaczyna się od współpracy ze stanami i lokalnymi mieszkańcami.,Yes
"Chodzi o upewnienie się, że wszyscy płacą podatki od dochodu, który zarabiają, i upewnienie się, że wszelkie oszczędności z wyższych poziomów dochodów są przekazywane rodzinom o niższych i średnich dochodach.",No
"A jednak, po odbyciu spotkania za spotkaniem, poparł tę decyzję, poparł sprzedaż broni ajatollahowi w zamian za zakładników, jedną z najtragiczniejszych, jedną z najbardziej błędnych decyzji w polityce zagranicznej, jakie kiedykolwiek podjęliśmy w tym kraju i ośmielę się powiedzieć, że zachęcił innych do wzięcia zakładników, jak teraz wiemy.",Yes
Ale kłamała w wielu sprawach.,Yes
Chcę więc utrzymać jakość opieki zdrowotnej.,No
W Senacie uchwaliliśmy prawo Amerykanów do importu leków z Kanady.,Yes
"Jestem ojcem synów, mam wnuka.",No
Byliśmy tam przez większą część roku.,No
"Jest tak dobra, jak każda prywatna szkoła w kraju.",No
Ale nie był w Senacie z senatorem Feingoldem.,Yes
"Myślę, że ostatnie kilka lat było niefortunne.",No
"Taki sposób myślenia mówi, że sankcje zadziałały.",No
"Wiedzą, że Partia Demokratyczna tego nie zrobi.",No
I w tych dwóch przypadkach bym ich faworyzował.,No
"Powiedział, że kiedyś się ze mną kłóciłeś, bo Sean popierał wojnę.",Yes
Amerykanie o średnich dochodach odnotowali spadek swoich dochodów o 4 300 USD.,Yes
"Zależało mi na tym, byśmy mogli współpracować.",No
Prawdopodobnie będzie musiała to zrobić komisja.,No
"Będę prezydentem, który odmieni nasze śródmieścia, da ludziom siłę, ekonomię i przywróci miejsca pracy.",No
"Kiedy, nie mogę powiedzieć.",No
I staram się tego nie robić.,No
"A kiedy jesteśmy silni i kiedy jesteśmy pierwsi, wtedy zyskuje wolność; wtedy zwiększają się perspektywy pokoju; wtedy zyskują perspektywy naszego społeczeństwa.",No
"I proszę cię o przywilej przewodzenia naszemu narodowi, aby stał się silniejszy w domu i ponownie szanowany na świecie.",No
"Z całym szacunkiem dla prezydenta Forda, uważam, że powinien się wstydzić, wspominając o tym stwierdzeniu, ponieważ mamy obecnie najwyższą stopę bezrobocia niż kiedykolwiek między Wielkim Kryzysem spowodowanym przez Herberta Hoovera a momentem objęcia urzędu przez prezydenta Forda.",Yes
"Mamy pięć traktatów z Ameryką Łacińską, w tym ten ustanawiający Organizację Państw Amerykańskich w Bogocie w 1948 roku, w którym zgodziliśmy się nie interweniować w wewnętrzne sprawy żadnego innego kraju amerykańskiego - a oni również zgodzili się zrobić to samo.",Yes
"Uważam, że w niewłaściwy sposób porównał to, co się tam działo, do tego, co działo się podczas ruchu na rzecz praw obywatelskich, a my natychmiast wydaliśmy oświadczenie, w którym stwierdziliśmy, że nie uważamy tego porównania za właściwe.",No
"I, po prostu, w śródmieściu są głodni - widzisz, mały biznes jest sposobem na rozruszanie śródmieścia, a nie...",No
Widać to po odejściu działu małych samochodów.,Yes
To jest moje zobowiązanie wobec ciebie.,No
"I pozwólcie, że cofnę się i powiem wam, co chciałbym zrobić z naszą polityką imigracyjną w szerokim ujęciu, a także odpowiem na wasze pytanie.",No
"Nie wiemy, co przyniesie przyszłość.",No
"To dlatego, że wierzymy w inwestowanie w edukację i miejsca pracy.",No
"Po drugie, zamierzamy zwiększyć wymianę handlową.",No
Czy jesteś za tym bez kwot?,No
"Jeśli masz problem z sercem, nie czekaj do zawału, aby się nim zająć.",No
"Kiedy zostanę prezydentem Stanów Zjednoczonych, utworzymy radę gubernatorów i będziemy współpracować bezpośrednio z gubernatorami, aby przywrócić władzę ludziom i stanom.",No
"Wzmacnia pozycję ludzi, daje im zaufanie i jest praktycznym sposobem na zachęcenie ich do zakupu ubezpieczenia zdrowotnego.",No
"Konsekwencją jest to, że część federalna lub pieniądze federalne trafią do rodzica, więc rodzic może pójść na korepetycje lub do innej szkoły publicznej lub prywatnej.",Yes
"Gratuluję wszystkim, którzy otrzymali obniżkę podatków.",No
"I wierzcie mi, to wy wyeliminowaliście żołnierzy.",Yes
Ale nigdy nie zawiodę w ochronie Stanów Zjednoczonych Ameryki.,No
...ponieważ sektor prywatny nie zainwestuje w...,No
Co wyjaśnia przyjaźń tej administracji z argentyńskimi dyktatorami po przejęciu przez nich władzy?,No
"Porozmawiajmy o mieszkalnictwie, którego dotyczyło pytanie.",No
Miało to wiele sensu.,No
"Nie mogę na to pozwolić, bo to nieprawda.",No
"Myślę, że wszyscy to robimy.",No
"Jeden z najlepszych w promowaniu wszelkiego rodzaju korzyści dla dzieci, aby rosły zdrowe i silne.",Yes
"A jeśli chodzi o naszą gospodarkę w kraju, wiem, czego potrzeba, aby stworzyć 12 milionów nowych miejsc pracy i podnieść pensje.",No
"I faktycznie, po tym kongresmen Lewis wydał podobne oświadczenie, mówiąc, że prawdopodobnie przekroczył granicę.",Yes
Nasze serca i umysły idą do nich.,No
"Za każdym razem, gdy Stany Zjednoczone były po jednej stronie, a oni po drugiej, nasza pozycja była podtrzymywana.",Yes
Chcę podwoić dywidendę z 3 500 USD do 7 000 USD na każde dziecko pozostające na utrzymaniu w Ameryce.,No
"Jeśli chodzi o zapewnienie przystępnych cenowo studiów, czy to dwuletnich, czy czteroletnich, jedną z rzeczy, które zrobiłem jako prezydent, było wysłanie 60 miliardów dolarów do banków i pożyczkodawców jako pośredników w programie pożyczek studenckich, mimo że pożyczki były gwarantowane.",Yes
"Traktuję to bardzo poważnie, ponieważ uważam, że jest to jedna z kwestii, z którymi musimy się uporać.",No
"A jeśli nie mogą tego zrobić, jeśli Kongres nie może tego zrobić, niech będą musieli to zrobić we wszystkich krajach.",No
"Nie, Morton, nie zgadzam się na wszystkie te rzeczy.",No
"To właśnie zrobił, jeśli chodzi na przykład o przyjęcie przełomowej ustawy o przestępczości z 1994 r., Ustawy o przemocy wobec kobiet.",Yes
