sentence,label
"Podczas drugiej debaty zaoferowałem, ponieważ obie strony chcą stref przedsiębiorstwa i nie możemy się spotkać, powiedziałem, że wezmę kilka dni wolnego i pójdę do Waszyngtonu i trzymam się z tobą, a zrobimy to.",Yes
Teraz prawdopodobnie będziemy musieli to zwiększyć w tym samym stopniu.,No
"Ale złożyłem przyrzeczenie, że w ciągu następnych dziesięciu dni, kiedy prosimy naród amerykański o podjęcie jednej z najważniejszych decyzji w ich życiu, ponieważ uważam, że te wybory są jednym z masztów ważnych w historii Ameryki, że toUH - robimy razem, co możemy, aby stymulować udział wyborców.",No
"To oni mają wyzwania i są ludźmi, którzy dokonują prognoz, że to nie będzie takie samo.",No
"Naprawdę nie mogę uwierzyć, że pan Bush wciąż stara się zaufać problemem po „przeczytaniu moich ust” i 15 milionach nowych miejsc pracy i obejmuje to, co nazwał ekonomią voodoo i obejmuje program wzmacniający eksport dla rolników, którego groził weto i pójściem wszystkimW całym kraju rozdając pieniądze w programach, których kiedyś się sprzeciwił.",Yes
"Jedną z dodatkowych mocy, które sugerowałbym, byłby zajęcie.",No
"To zajmie uczciwe, wspólne poświęcenie.",No
"I aby tak się stało, musimy wzmocnić naszą gospodarkę tutaj w domu.",No
"I w rzeczywistości tak się zdarza, że w dziwactwie administrowania tych podatków osoby powyżej 50 000 USD faktycznie nie stały się tak duże, że obniżka podatku pod względem procentowym, jak te z 50 000.",Yes
"Mieliśmy tego dość, panie i panowie.",No
"Cóż, pan Ford jest - czy zmieni się znacznie jego poprzednia filozofia.",Yes
"Robisz wiele rzeczy, o których nikt nie wie.",No
Dlatego kilka dni temu przywiozłem przywódców do Waszyngtonu.,No
Wezwało się do wzrostu produkcji energii w Stanach Zjednoczonych.,Yes
"I tak, zarówno dla korporacji, jak i dla osób fizycznych.",No
"Jeśli zrobimy te rzeczy, zbudujemy ten most do XXI wieku, a największy kraj w historii będzie jeszcze większy.",No
Byłem krytykowany wobec tej administracji i krytykowałem prezydenta.,No
"Teraz, dopóki to nam znosimy, to właśnie dostaniesz.",No
"Nie zamierzam nosić okularów w kolorze różowym, jeśli chodzi o Rosję lub pana Putina.",No
"Jesteśmy tym, które opracowały umowę o pracę w więzieniu.",Yes
"To kraj, o który będę walczył.",No
"Pokaż nam, czy uczą się czytać, pisać, dodawać i odejmować, a jeśli tak, będą plany dodatkowe.",No
"Jasne, możesz to zrobić z Kongresem.",No
Musimy traktować to jako przestępstwo międzynarodowe.,No
"Tak, myślę, że potrzebujemy więcej żołnierzy.",No
"I podobnie jak John McCain, nauczyłem się z doświadczenia i nie jest to dla mnie nowa pozycja.",No
"Zasugerowałem, aby prezydentowi otrzymał inną broń w celu ochrony interesu narodowego w przypadku krajowych strajków awaryjnych poza przepisem nakazu ustawy o Taft-Hartley.",Yes
"I wiemy, co się stało.",No
"Wiem, że firmy naftowe zachwycały to, ale nie jest to właściwe dla przyszłości.",No
"Cóż, musiałem żyć przez inne osiem lat niż te, przez które przeżył wiceprezydent, ponieważ ta administracja przecięła, obniżyła i wycinała i cięli programy dla dzieci, żywienia, dla rzeczy, które mogą pomóc tym młodym ludziomżyć lepszym życiem.",Yes
"Powiedziałem, że nie wprowadzę obniżki podatku, która zwiększa deficyt.",No
"Teraz argumentuję również, że wydobycie nieudokumentowanych imigrantów z cienia, umieszczenie ich w formalnej gospodarce będzie dobre, ponieważ wtedy pracodawcy nie mogą ich wykorzystywać i podcinać płace Amerykanów.",No
"Dzielnice są bezpieczniejsze, gdy rozbijamy się z ludźmi, którzy popełniają przestępstwa z bronią.",No
"Słuchaj, jestem twórcą pracy, a nie niszczycielem pracy.",No
"Spójrz, problem polega na tym, że zgodnie z planem gubernatora Busha, obniżki podatku o 1,6 biliona dolarów, głównie dla bogatych, pod własną liczbą budżetu, proponuje wydawanie większej ilości pieniędzy na obniżkę podatków tylko na najbogatsze 1% niż wszystkie nowe pieniądze, na które budżetujeEdukacja, opieka zdrowotna i obrona narodowa łącznie.",Yes
"Myślę, że przede wszystkim pozwól mi - powtórzyć - pozwól mi powtórzyć to, co powiedziałem.",No
"Kiedy wyjdziesz w 2014 roku, zakładam, że będę prezydentem.",No
"To nie moja kadencja, to sekretarz obrony prezydenta, nazywany ich niszczycielskimi.",Yes
"Stany Zjednoczone zebrały się tak, jak nie mamy wielu, wiele lat.",No
"Nasze fundusze na odzyskanie wzrasta, odzyskując uzależnionych.",Yes
"Myślę, że widzieli słabość, w której spodziewali się znaleźć amerykańską siłę.",No
"Teraz nie jest to wyrok, który powinien wydać prezydent Stanów Zjednoczonych.",No
"Uwielbiam fakt, że ludzie będą słuchać faceta ze złym akcentem i złym sposobem prezentacji rozmawiając o flipach przez 30 minut, ponieważ chcą szczegółów.",No
"Tom, machaj tak, a ja na ciebie spojrzę.",No
Jestem zainteresowany pracą z naszymi narodami i dużo tego.,No
"Platforma, do której odnosi się prezydent, wzywa do testu religijnego w wyborze sędziów.",No
"Teraz dobrze jest powiedzieć, że czasami musisz uderzyć w obozy bazowe, ale kiedy prezydent zobaczył, że ten państwowy sponsorowane odciski palców Muammara Khadaffi pod kątem utraty amerykańskiego życia uderzył w Libią.",Yes
"Musimy powiedzieć, że każdy z nas musi być odpowiedzialny za to, co robimy.",No
Twoje przyszłe korzyści zostałyby zmniejszone o kwotę skierowaną na giełdę.,Yes
"I więc poprosię tylko o wsparcie, aby wprowadzić to w życie.",No
I mamy do tego kłopoty.,No
"Wierzę, że pójdzie.",No
"Trzecie rzeczy, które myślę, że potrzebujemy więcej takich forów, co jest jednym z powodów, dla których tak mocno poparłem reformę finansowania kampanii.",No
"I zdefiniował to jako kogoś, kto używa fasoli zamiast mięsa.",No
"Ale kiedy byłem w tym małym kościele po drugiej stronie rzeki od Waszyngtonu i zobaczyłem, jak nasz wnuk chroni w naszej wierze, byłem bardzo zadowolony, że matka nie przerywała tego dziecka i postawiła dziecko na adopcję.",No
"Jest 9 krajów, które wydają więcej niż my na edukację publiczną.",Yes
"Jak widzieliśmy dziś wieczorem, polityka zagraniczna i polityka obronna są trudnymi i złożonymi problemami.",No
"Może myślisz, że to ma sens.",No
Nadal zwiększamy siłę roboczą i sprzęt.,Yes
"Niektórzy z nich byli Demokratami, a niektórzy z nich byli republikanami.",No
I to właśnie zrobili nam republikanie.,No
Chcę rozwinąć zasoby węgla w Ameryce.,No
Tak więc każdy - każdy język przeciwny jest po prostu nie dokładny.,No
"Wiem, że nie osiągniemy naszego celu, jeśli wyślemy mieszane sygnały do naszych żołnierzy, naszych przyjaciół, obywateli irackich.",No
"Uważam też, że bardzo ważne jest, aby przejść do następnego etapu reformy opieki społecznej.",No
"Patrzysz na Bliski Wschód, to totalny bałagan.",No
Zamierzamy zablokować Grant w Medicaid do Stanów ...,No
"Przede wszystkim myślę, że dobrze jest spojrzeć na perspektywę, w której naprawdę stoimy w odniesieniu do Związku Radzieckiego w tej całej sprawie wzrostu.",No
"Cóż, matematycznie, istnieją trzy sposoby zmniejszenia deficytu.",No
"Mamy dżentelmena w Nikaragui, który jest kontraktowy z CIA, doradzając - rzekomo taktyki wojskowej - Contras.",Yes
Ale ta administracja raz po raz straciła drogę w tej dziedzinie.,No
"I cieszę się, że idziemy we właściwym kierunku.",No
"Pomagamy demokracji, Ross.",No
I wspaniale jest znowu być z tobą.,No
To jeden z problemów z tak zwaną dyplomacją wahadłowców tej administracji.,No
"Myślę, że dobra wola obu części, ciężkie negocjacje przez obie strony i rozsądny kompromis będzie w najlepszym interesie wszystkich stron.",No
"I nawigrusem, doskonałe - mam na myśli, że nasz sukces w ciągu ostatnich ośmiu lat nie był pomimo różnorodności, ale z tego powodu.",No
"Ilekroć dostaniesz duży rajd w wysokości 10 000, 15 000, 20 000 osób, będziesz mieć ludy Fringe.",No
Jest jakieś pytanie o ich moralność.,No
"Pozwól mi wrócić do tego momentu, ale chcę mówić przez sekundę, jeśli mogę, do tego, co prezydent powiedział o odpowiedzialności fiskalnej.",No
"Wszyscy mówią, że stworzy miejsca pracy.",No
"Nie jest to zabrane nikomu inne, tyle że zmniejszymy Departament Edukacji.",No
"W każdym z tych przypadków administracja Forda zawiodła i mam nadzieję, że ja i pan Ford będzie miało szansę omówić przyczyny tych niepowodzeń.",No
"I uznając to, zwołałem grupę naszych współobywateli, aby przestudiować ten problem.",Yes
Po prostu czekali na wykorzystanie okazji.,No
Pytanie brzmi: czy możemy wygrać?,No
"Podobnie jak pan Perot, trzymałem w ramionach Crack Babies.",No
"Ten sam kraj, który pomaga nam powstrzymać przepływ narkotyków do naszego kraju, który zabija młodych Amerykanów.",Yes
"Nie zamierzam tego robić, ponieważ myślę, że jury wciąż jest w sowieckim eksperymencie.",No
"To, co ci damy, to 50 -procentowa ulga podatkowa, która pomoże zapewnić opiekę zdrowotną dla potrzebnych.",No
"Teraz gubernator Carter narzeka na deficyty, jakie miała - ta administracja.",No
"Chcę obniżyć stawki, jednocześnie niższe potrącenia, zwolnienia i kredyty i tak dalej, więc nadal uzyskiwamy potrzebne dochody.",No
"Praktycznie każda analiza ekonomiczna, o której słyszałem, w tym wybitne biuro budżetowe kongresu, które są, jak sądzę, prawie wszyscy mówią, że nawet przy historycznie wysokim poziomie wzrostu gospodarczego poniesie deficyt o wartości 263 miliardów dolarów.",Yes
"Jedną z rzeczy, które zrobił, jest uwolnienie cyberprzestępców na włamanie się do plików rządowych, włamanie się do plików osobistych, włamanie się do Demokratycznego Komitetu Narodowego.",Yes
To część systemu zabezpieczenia społecznego.,Yes
"Waszym plan jest powielanie tego, co już jest prawem, które mówi, że jeśli jesteś poza ubezpieczeniem zdrowotnym przez trzy miesiące, możesz w końcu uzyskać ciągłe ubezpieczenie, a firma ubezpieczeniowa nie może ci zaprzeczyć, jeśli - jeśli to jestmiał mniej niż 90 dni.",Yes
"Ale Rosjanie, myślę, że możemy sobie z nimi poradzić, ale muszą zrozumieć, że stoją przed bardzo zdecydowanymi i zdeterminowanymi Stanami Zjednoczonymi Ameryki, które będą bronić naszych interesów i innych krajów na świecie.",No
"Uważam, że oferuję przetestowane, silne przywództwo, które może uspokoić wody niespokojnego świata.",No
"Ale wszyscy wiemy, że wciąż mamy dużo pracy.",No
"Ale nie ma wątpliwości, że nie będziemy w stanie zrobić wszystkiego, co moim zdaniem trzeba zrobić.",No
"Chcę Sądu Najwyższego, który nie zawsze jest po stronie interesów korporacyjnych.",No
"Jednym z powodów, dla których jestem tak silnym wierzącym w reformę prawną, jest to, że ludzie nie boją się wyprodukowania produktu niezbędnego dla zdrowia naszych obywateli, a następnie ostatecznie pozwany w sądzie.",No
"Nie wiem, jak głosujesz w tym „obecnym”.",No
"A jednak, ze względu na ciężką pracę narodu amerykańskiego i dobre polityki, gospodarka rośnie.",Yes
"Cóż, myślę, że musimy pracować nad problemem długu trzeciego świata i musimy pomóc krajom trzeciego świata w radzeniu sobie z tym ogromnym długiem, które obecnie zaciągnęli, a które je obciążają, a jeśli jeśli to obciążaNie robimy czegoś z tym i pomagamy im wraz z innymi narodami na całym świecie, zniszczymy ich gospodarki, zniszczymy ich przyszłość.",No
"Ma to korzyść z upewnienia się, że nasi pracodawcy nie łamią prawa, ponieważ starają się zaspokoić swoje potrzeby siły roboczej.",No
Administracja Reagana-Bush była słuszna.,No
"Tak więc mamy - jak powiedzieliśmy, jeśli chcesz prowadzić interesy i sprzedawać swoje produkty tutaj, będziesz musiał rzucić pirowanie naszych płyt CD, a oni zgodzili się robić rzeczy i sprawdzić, czy to zrobili, co to zrobili, co to zrobiliZwiększy problem.",Yes
"Została przechytrzona i przewyższona gorsza niż ktokolwiek, kogo kiedykolwiek widziałem w jakimkolwiek rządzie.",No
"Przyjrzasz sobie, co dzieje się ze stalą i kosztem stali i Chin, które zrzucają ogromne ilości stali w całych Stanach Zjednoczonych, co zasadniczo zabija naszych stalowych robotników i naszych firm stalowych.",Yes
"Mówi o tym fantastycznym planie administracji, aby zabrać tysiące mil kwadratowych w zachodnich stanach.",No
"Byłem 19 lub 20 lat od lotniskowca, co ukształtowało mnie jako naczelnego naczelnego sił zbrojnych.",No
Mam tylko uczciwą różnicę filozoficzną.,No
"Przede wszystkim wszyscy wiemy, że w jego przesłaniu o stanie Unii opowiedział Kongresowi o materiałach nuklearnych, które nie istniały.",Yes
Jesteśmy słabi na świecie.,No
"I myślę, że kongresmen Lewis polegał na tym, że musimy uważać na to, jak radzimy sobie z naszymi kibicami.",No
Możemy podnieść nasze szkoły.,No
"Nie daj się ustalić, w jaki sposób należy osiągnąć ten związek w związku z naszym obecnym uznaniem dyplomatycznym i obowiązkami wobec tajwańskiego rządu.",No
"I wreszcie byliśmy partią konwencji - do pracy z Niemcami, Francją i Wielką Brytanią, aby wysłać swoich ministrów spraw zagranicznych do Iranu.",Yes
"Tak, możemy być bezpieczni, jeśli pozostaniemy w ataku na terrorystów i jeśli szerzymy wolność i wolność na całym świecie.",No
"Patrzą na fakt, że zawdzięczamy im bilion dolarów i zawdzięczamy w sumie innymi osobami 16 bilionów dolarów, w tym to.",Yes
"Pan Reagan, jak widział dziś wieczorem - prezydent Reagan zajmuje stanowisko, że zniknie przez magię.",No
"Przyrzekam, że nie będę podnosić podatków;Daję obniżkę podatków zarabiających mniej niż 200 000 USD rocznie.",No
"Potrzebujemy dobrego, silnego przywództwa w następnym stuleciu.",No
"I powiem ci dokładnie, dlaczego myślę, że wybór, który dokonał, aby przedstawić spółki naftowe i innych przed tym, to znaczy, jeśli byłeś gubernatorem stanu, który był martwy w opiece zdrowotnej na rodziny, i nagle znalazłeś się z największą nadwyżką, jaką kiedykolwiek miała w swojej historii, czy nie chciałbyś użyć niektórych z nich do wspinania się z 50 do, powiedzmy, 45 lub 40, czy może coś lepszego?",No
"Możemy przechowywać i ponowne wydawanie paliwa nuklearnego, senatora Obamy, bez problemu.",No
Mógłbym to zrobić bardzo szybko.,No
"Chodzi o konstytucję - i tak ważną konstytucję tak, jak miała być.",No
Więc poprosię Kongres o uchwalenie ustawy o ochronie nauczycieli.,No
"Generał Petraeus właśnie przejął stanowisko odpowiedzialności, w której ma polecenie i naprawdę nadał ton stosowanej strategii i taktyce.",No
"A obietnicą rewolucji była demokracja, prawa człowieka, wolne związki zawodowe, wolna prasa.",Yes
"Jestem facetem, który chce pomóc w doświadczeniu, które mam, naród amerykański.",No
"Masz jednego rodzica pracującego dla rządu, drugiego rodzica pracującego dla rodziny.",No
"Czy wiesz dzisiaj, że Com-Rosjanie nadawali dziesięć razy więcej programów w języku hiszpańskim do Ameryki Łacińskiej niż my?",Yes
"I uh - to byłby kolejny czynnik, którego podążałbym.",No
Prawdopodobnie stanie się to w 2012 lub 2015 roku.,No
Są wielkimi uczonych we wszystkich przypadkach i są ludźmi o ogromnym szacunku.,No
"Wychodzę z Partii Demokratycznej, która w tym stuleciu wyprodukowała Woodrow Wilsona i Franklin Roosevelt i Harry Truman, a którzy wspierali i podtrzymywały te programy, o których rozmawiałem dziś wieczorem.",No
"Przepraszam za to, ale ten dotarł do National Honor i przepraszam.",No
"Miał 26 oddzielnych map, które musieli podpisać, dosłownie tysiące wyznaczeń tego, kto zrobiłby to na Zachodnim Brzegu, i wierzę, że jeśli strony się spotkają i w dobrym stanie zawrzeć tę umowę, że będą w stanieAby to zrobić, jeśli nie możemy narzucić pokoju na Bliski Wschód.",No
"Po pierwsze, sekwestra nie jest czymś, co zaproponowałem.",No
"W miarę możliwości - korzyść z posiadania dwojga rodziców w domu, i to nie zawsze jest to możliwe.",No
"Jak przywrócić - w szczególności przywróć pracę, amerykańscy producenci?",No
Religia była ogromną częścią mojego życia.,No
"Amerykanie nie powinni byli tam wyjechać, gdybyśmy pozwolili im się bronić, ponieważ mają prawo do tego, zgodnie z art. 57 Karty Narodów Zjednoczonych.",Yes
Powiedziałbym około 30 procent.,No
"Musimy wrócić do przebudowy klasy średniej, Family of America.",No
"Wskazuje na fakt, że odwiedziłem Kubę, podczas gdy pan Batista był tam u władzy.",No
"Wierzę, że - wierzę, że przenieśli ten znak, „The Buck Stops tutaj” z owalnego biurka biurowego do „The Buck Stops tutaj” w sypialni Lincoln.",No
"Myślę, że robimy tutaj postępy.",No
"Czy będziemy podwoić się od odgórnej polityki gospodarczej, która pomogła nam wprowadzić nas w ten bałagan, czy też przyjmujemy nowy patriotyzm gospodarczy, który mówi, że Ameryka najlepiej robi, gdy klasa średnia robi najlepiej?",No
"Nazywa się to wsparciem premium, ale rozumie się jako program kuponów.",No
"A to, co powiedziałem również, dotyczy młodych ludzi, którzy tu przychodzą, często przywiezione tutaj przez rodziców.",No
"Dwa pytania: Jak powstrzymujesz atak nuklearny bez modernizacji naszych sił nuklearnych, gdy Sowieci modernizują się i dlaczego spędzasz na tym, aby spędzić dziesięciocentówkę na czymś, co uważasz za fantazję i oszustwo.",No
"I tak pytanie brzmi, jak je ponownie odejść.",No
"Chcę uzyskać lepszą stopę zwrotu za własne pieniądze niż marne 2%, jakie otrzymuje obecny zaufanie do ubezpieczenia społecznego dzisiaj.",No
"Jeśli nie masz ubezpieczenia zdrowotnego lub chcesz kupić plan grupowy, będziesz mógł kupić plan, który właśnie opisałem.",No
Wszyscy skupiamy się na Chinach.,No
"I myślę, że to zadziała.",No
"To nie jest sposób, w jaki wycinamy - wycięjemy całą wieprzowinę.",No
"Ale myślę, że my - myślę, że musimy zacząć od lepszego rodzicielstwa.",No
Ale nikt nie nazwał Sean Hannity.,Yes
Dochód z gospodarstwa netto wynosi 50 procent w ciągu ostatnich 3 lat i każdy rolnik o tym wie.,Yes
Jaką wiadomość wysyła do naszych sojuszników?,No
"Po drugie, moim zastrzeżeniem do obecności polityki rolnej jest to, że nie ma skutecznej kontroli, aby zwiększyć równowagę podaży i popytu.",No
"Jestem dumny, że lepiej jest to, niż cztery lata temu.",No
"Możemy różnić się tym, jakie są elementy tego.",No
"Chciałbym zjednoczyć ten kraj, aby dokonać programu, który przemówiłby o nadziei i aspiracjach przyszłości.",No
"A jeśli chodzi o etykę publiczną, ponosi odpowiedzialność.",No
"My - musimy mieć - musimy, aby pracodawcy nagradzają pracowników, którzy dołączają do klubów zdrowia i ćwiczą dobre samopoczucie i fitness.",No
W ciągu ostatnich czterech lat utracono pół miliona miejsc pracy w produkcji.,Yes
"Kiedy zakończyliśmy 400 000 desperackich, beznadziejnych, bezbronnych Amerykanów, którzy byli niepełnosprawni - zdezorientowani i niezdolni do obrony, i po prostu położyli ich na ulicy, tak jak to zrobiliśmy przez 4 lata, nie sądzę, że o to chodzi w Ameryce.",Yes
"Jeśli Iran nabywa broń nuklearną, wszystkie inne kraje również je nabywają.",No
Ostatnio w Aurora.,No
"Czy możesz dodać pięć sekund, Bernie, z uczciwości?",No
"Ponieważ zamierzasz zdecydować, czy teraz zrównoważymy budżet, ale chronić Medicare, Medicaid, Education i The Environment.",No
Ale zaczyna się od współpracy ze stanami i lokalnymi ludźmi.,Yes
"Chodzi o to, aby wszyscy płacą podatki od dochodów, które zarabiają, i upewnij się, że przyjmujesz wszelkie oszczędności z wyższych poziomów dochodów i przekazujesz je rodzinom o niższych i średnich dochodach.",No
"A jednak, po spotkaniu po spotkaniu, poparł tę decyzję, poparł sprzedaż broni Ajatollahowi w zamian za zakładników, jedną z najbardziej tragicznych, jednej z najbardziej błędnych decyzji dotyczących polityki zagranicznej, jakie kiedykolwiek podjęliśmy w tymCountry i ja śmiałem się, zachęcając innych do przyjmowania zakładników, jak wiemy.",Yes
Ale kłamała o wielu rzeczach.,Yes
Chcę więc zachować jakość opieki zdrowotnej.,No
W Senacie przekazaliśmy prawo Amerykanów do importowania narkotyków z Kanady.,Yes
Jestem ojcem synów;Mam wnuka.,No
Byliśmy tam przez większą część roku.,No
Jest tak dobry jak każda prywatna szkoła w kraju.,No
Ale nie było go w Senacie z senatorem Feingoldem.,Yes
"Myślę, że - myślę, że w ciągu ostatnich kilku lat było niefortunne.",No
"To rodzaj myślenia, który mówi, że sankcje działały.",No
"Wiedzą, że Partia Demokratyczna tego nie zrobi.",No
W tych dwóch przypadkach faworyzowałbym ich.,No
"Powiedział: kiedyś walczyłeś ze mną, ponieważ Sean był za wojną.",Yes
"Średnie dochody Amerykanie zauważyli, że ich dochód spadł o 4300 USD.",Yes
"To, na co mi zależało, to moglibyśmy współpracować.",No
Prawdopodobnie będzie to musiało zrobić komisja.,No
"I będę prezydentem, który odwróci nasze wewnętrzne miasta i da siłę ludziom i da ludziom ekonomię i przywróci pracę.",No
Kiedy nie mogę ci powiedzieć.,No
I staram się tego nie robić.,No
"A kiedy jesteśmy silni i kiedy jesteśmy pierwsi, zyski z wolności;Następnie rosną perspektywy pokoju;Następnie zyskują perspektywy naszego społeczeństwa.",No
"I proszę cię o przywilej doprowadzenia naszego narodu, aby był silniejszy w domu i szanowany na świecie.",No
"Z całym szacunkiem dla prezydenta Forda, myślę, że powinien się wstydzić wspomnienia o tym oświadczeniu, ponieważ mamy teraz najwyższą stopę bezrobocia niż w dowolnym momencie między Wielkim Kryzysem spowodowanym przez Herberta Hoovera i czasem, w którym prezydent Ford objął urząd.",Yes
"Mamy pięć traktatów z Ameryką Łacińską, w tym ten, który ustanawia organizację państw amerykańskich w Bogocie w 1948 r., W której zgodziliśmy się nie interweniować w sprawy wewnętrzne jakiegokolwiek innego kraju amerykańskiego - i oni również zgodzili się zrobić również zrobić to samo.",Yes
"Myślę, że niewłaściwie narysował porównanie tego, co się tam działo, a tym, co wydarzyło się podczas ruchu na rzecz praw obywatelskich, i od razu wydało oświadczenie, że nie uważamy, że porównanie jest właściwe.",No
"I, bardzo po prostu, w śródmieściu, są głodne -widzisz, małe biznes to sposób na rozpoczęcie śródmieścia, a nie -",No
"Widzisz to, ich mały podział samochodu odchodzi.",Yes
To jest moje zaangażowanie wobec ciebie.,No
"I pozwól, że cofnę się i powiem ci, co chciałbym zrobić z naszą polityką imigracyjną i podaj odpowiedź na twoje pytanie.",No
"Nie wiemy, co przyniesie przyszłość.",No
"To dlatego, że wierzymy w inwestowanie w edukację i pracę.",No
"Po drugie, zwiększymy nasz handel.",No
Czy jesteś za to bez kwot?,No
"Jeśli masz problem z sercem, nie czekasz, aż zawał serca, aby go rozwiązać.",No
"Kiedy jestem prezydentem Stanów Zjednoczonych, będziemy mieli radę gubernatorów i będziemy współpracować bezpośrednio z gubernatorami, aby wrócić do ludzi i z powrotem do Stanów.",No
"Umożliwia ludziom, ufa ludziom - i jest to praktyczny sposób zachęcania ludzi do zakupu ubezpieczenia opieki zdrowotnej.",No
"W konsekwencji jest to, że część federalna lub pieniądze federalne trafi do rodzica, aby rodzic mógł przejść do programu korepetycji lub innej szkoły publicznej lub innej szkoły prywatnej.",Yes
"Teraz wszystko, co dostałeś obniżkę podatku, gratulacje.",No
"I uwierz mi, to ty zabrał żołnierzy.",Yes
Ale nigdy nie będę chronić Stanów Zjednoczonych Ameryki.,No
... ponieważ sektor prywatny nie będzie inwestować w ...,No
"Co wyjaśnia, że ta administracja przytula się do argentyńskich dyktatorów po ich przejęciu?",No
"Porozmawiajmy o mieszkaniach, które było pytanie.",No
To miało sens.,No
"I nie mogę pozwolić, aby to stanęło, ponieważ to nie jest prawda.",No
"Myślę, że wszyscy to robimy.",No
Jeden z najlepszych w rozwijaniu wszelkiego rodzaju korzyści dla dzieci w celu dorastania zdrowego i silnego.,Yes
"A jeśli chodzi o naszą gospodarkę tutaj w domu, wiem, czego potrzeba, aby stworzyć 12 milionów nowych miejsc pracy i rosnące wynagrodzenie na wynos.",No
"I w rzeczywistości kongresmen Lewis wydał podobne oświadczenie, mówiąc, że prawdopodobnie przekroczył linię.",Yes
Nasze serca i - i umysły wychodzą do nich.,No
"Za każdym razem, gdy Stany Zjednoczone są jedną stroną i były po drugiej stronie, nasza pozycja została utrzymana.",Yes
Chcę podwoić dywidendę z 3500 USD do 7 000 USD dla każdego dziecka na utrzymaniu w Ameryce.,No
"Jeśli chodzi o uczynienie college'u w przystępnej cenie, niezależnie od tego, czy jest to dwuletnie czy czteroletnie, jedną z rzeczy, które zrobiłem jako prezydent, było wysyłaliśmy 60 miliardów dolarów do banków i pożyczkodawców jako pośredników na program pożyczki studenckiej, mimo że pożyczki byłygwarantowane.",Yes
"Traktuję to bardzo poważnie, ponieważ uważam, że jest to jeden z problemów, z którymi musimy się poradzić.",No
"A jeśli nie mogą tego zrobić, jeśli Kongres nie może tego zrobić, pozwól im to zrobić na całej tablicy.",No
"Nie, Morton, nie zgadzam się na wszystkie te rzeczy.",No
"To właśnie zrobił, jeśli chodzi o, na przykład, przekazując przełomowy rachunek za przestępstwo z 1994 r., Przemoc przeciwko kobietom.",Yes
Z przyzwoitą i niedrogą opieką zdrowotną dla wszystkich pracujących rodzin.,No
"A jeśli zostanę wybrany na prezydenta, zrobię coś z tym.",No
Musimy mieć świetny cel.,No
"Przypomnę ci, że był to demokratyczny wzrost podatku, a ja nie chciałem tego robić i poszedłem z tym.",Yes
"Zobacz, przez 45 lat byliśmy zajęci Armią Czerwoną.",Yes
Ale nie to zrobiłeś w ciągu ostatnich czterech lat.,No
"I powiedziałem, że popełniam błąd.",No
